k,inertia,silhouette_score
2,5304.709940250006,0.7669765554531185
3,3305.9480980851413,0.5349632023022483
4,2375.0993599345907,0.5212698857511116
5,1709.3471779097838,0.43168893606113234
6,1275.796855479725,0.4490945802039024
7,1027.6401110728316,0.46639094071023435
8,873.9609910145455,0.465909837217482
9,780.1391527291617,0.4621425420123354
10,691.438083640754,0.3889093908191004
