cluster,solar,dni,ghi,gti,clearsky_dni,clearsky_gti,cloud_opacity,relative_humidity,air_temp,precipitation_rate
0,6.546224350276243,228.99037646940369,208.8289818515542,242.55795112427302,383.3557237645757,313.97583133168035,19.33763332685445,71.76691479243074,7.191809052935942,0.10742261656267268
1,397.64663616149465,176.56947105739954,232.02316975140093,241.28880463174525,237.5099071682219,271.23655077254756,18.407306750355872,58.1278352357321,27.359303869968087,0.043853955463638246
2,103.68787562431152,121.81920298997377,151.6308629610348,178.31766707417194,196.5061503341584,227.67104227371252,19.893598450606383,75.33370805416122,18.085107026992876,0.08775759957947599
3,145.07719729563095,84.61672043912219,176.45016367119484,173.087710672638,292.18807591667087,276.842983543435,47.97932419737461,83.48852544728747,25.245659135017192,0.45715487318574927
