k,inertia,silhouette_score
2,5612.232201616712,0.3147768987999157
3,4352.614174327233,0.3717879890264747
4,3326.2976022757316,0.39645510498674486
5,2510.0845674835364,0.3793867578630577
6,2030.8617502255574,0.39591158048262054
7,1678.5611532137852,0.37368191888506247
8,1371.6319962704586,0.3974444160054719
9,1225.4064762019468,0.34670434485459023
10,1093.6239056015904,0.3601890289838728
