k,inertia,silhouette_score
2,14998.460712164599,0.251113429299738
3,12371.143834915216,0.26750631642487654
4,9883.991872324435,0.2895838548816181
5,8934.943654229248,0.2551016234419799
6,8119.721167845183,0.260878619000604
7,7404.98518951157,0.23469593718277865
8,6791.764988550604,0.23492964362119984
9,6286.7283697627645,0.23218021849435808
10,5846.637161322453,0.23629979824098182
