state_ut,year,month,latitude,longitude,wind,solar,biomass,hydro,air_temp,albedo,clearsky_dhi,clearsky_dni,clearsky_gti,cloud_opacity,dni,ghi,gti,precipitation_rate,relative_humidity,surface_pressure,wind_speed_100m,cluster
Chandigarh,2019,JAN,30.7333,76.7794,0.23,0.0,0.0,0.0,12.37550471063257,0.1725841184387618,59.17092866756393,179.2853297442799,197.9300134589502,19.19313593539704,119.1668909825034,119.950201884253,153.5679676985195,0.08169582772543742,72.54333781965006,999.7115746971735,3.596231493943472,0
Chandigarh,2019,FEB,30.7333,76.7794,1.46,0.0,0.0,0.0,14.84226190476191,0.1675,72.32291666666667,200.3928571428571,231.4270833333333,27.54494047619048,93.71130952380952,131.3973214285714,151.6741071428571,0.16875,74.01130952380952,997.2967261904762,3.888690476190476,0
Chandigarh,2019,MAR,30.7333,76.7794,0.26,0.0,0.0,0.0,19.27150537634409,0.1527956989247312,79.20698924731182,254.8333333333333,280.2002688172043,15.38454301075269,181.5524193548387,201.1505376344086,226.244623655914,0.03440860215053763,63.40215053763441,995.1081989247311,4.022983870967741,0
Chandigarh,2019,APR,30.7333,76.7794,2.32,0.0,0.0,0.0,27.87222222222222,0.1533333333333333,87.39027777777778,282.15,299.6013888888889,11.59652777777778,223.7388888888889,259.5027777777778,269.2138888888889,0.03777777777777778,43.78805555555556,990.4231944444443,4.705972222222223,0
Chandigarh,2019,MAY,30.7333,76.7794,0.34,0.0,0.0,0.0,30.95564516129032,0.1503225806451613,97.09005376344086,289.3481182795699,303.5927419354838,11.92204301075269,234.4758064516129,283.1438172043011,274.3844086021505,0.03481182795698925,35.1611559139785,987.2143817204301,4.476478494623656,0
Chandigarh,2019,JUN,30.7333,76.7794,2.21,0.0,0.0,0.0,33.24444444444445,0.1571111111111111,112.4361111111111,252.6458333333333,288.7486111111111,9.482222222222221,202.3708333333333,274.9055555555556,259.3,0.03097222222222222,41.47125,983.1126388888889,4.010138888888889,0
Chandigarh,2019,JUL,30.7333,76.7794,0.23,0.0,0.0,0.0,29.15725806451613,0.1687096774193549,125.25,196.9086021505376,265.255376344086,22.34744623655914,78.98118279569893,186.9489247311828,179.3924731182796,0.3235215053763441,75.92795698924732,981.8627688172044,3.08991935483871,0
Chandigarh,2019,AUG,30.7333,76.7794,1.48,0.0,0.0,0.0,28.90591397849462,0.1693548387096774,87.07661290322581,273.0094086021505,286.0645161290323,23.58548387096774,110.5282258064516,195.6639784946236,194.4220430107527,0.4181451612903226,79.95174731182796,984.1005376344086,2.626209677419355,0
Chandigarh,2019,SEP,30.7333,76.7794,0.16,0.0,0.0,0.0,28.06388888888889,0.1696111111111111,87.23194444444445,230.9319444444444,266.0305555555556,13.90972222222222,105.6652777777778,185.1958333333333,193.5291666666667,0.11125,79.80250000000001,988.8293055555555,2.736805555555556,0
Chandigarh,2019,OCT,30.7333,76.7794,1.28,0.0,0.0,0.0,23.84811827956989,0.1680645161290323,69.90591397849462,229.3897849462365,250.361559139785,6.313037634408602,174.5766129032258,190.9435483870968,224.135752688172,0.003494623655913979,69.56599462365591,994.6331989247311,3.129569892473119,0
