k,inertia,silhouette_score
2,26018.68956463555,0.19623959397246346
3,21943.46828083443,0.2206522857136369
4,19365.42591058708,0.20205114543282293
5,17464.92005288556,0.22216618708010621
6,15656.093639187427,0.22379566649336696
7,14454.410254098219,0.23130731174229352
8,13584.052301009382,0.2101992194886126
9,12608.982660249858,0.21412475266758543
10,11721.444764657908,0.22512122405708923
