,k,inertia,silhouette_score
0,2,5470.215892949513,0.28526047869707677
1,3,4208.912922832046,0.3085925638804007
2,4,3210.839748751029,0.34176574013298366
3,5,2508.3103969645717,0.32580909257073754
4,6,2105.120957696421,0.3323892086844935
5,7,1800.4886352967737,0.3241093993270658
6,8,1532.904787399137,0.3407301569779624
7,9,1399.34150816498,0.3262626240828049
8,10,1300.8789822099677,0.2937826014573983
