,k,inertia,silhouette_score
0,2,3778.781373027306,0.4012507803497189
1,3,2754.604756059095,0.4351613994439135
2,4,1876.0261607132225,0.4214909325923048
3,5,1408.2286109209372,0.44071122364957
4,6,1021.2069483206003,0.4323136342753994
5,7,843.7264539410252,0.39298033135085253
6,8,736.3959942536393,0.39489393587108024
7,9,637.4676897571424,0.3822958980043983
8,10,550.9713190977119,0.3931268935052381
